Latitude,longitude, GPSalt, BARalt, distlidar, fin
9.8738126755,-83.6647644043,676.7000122070,666.37,5,12.00
9.8738126755,-83.6647644043,676.7000122070,665.75,5,12.00
9.8738126755,-83.6647644043,676.7000122070,666.20,14,12.00
9.8738126755,-83.6647644043,676.7000122070,665.66,13,12.00
9.8738126755,-83.6647644043,676.7000122070,666.28,5,12.00
9.8738126755,-83.6647644043,676.7000122070,666.20,5,12.00
9.8738126755,-83.6647644043,676.7000122070,665.66,8,12.00
9.8738126755,-83.6647644043,676.7000122070,665.75,7,12.00
9.8738126755,-83.6647644043,676.7000122070,666.28,5,12.00
9.8738126755,-83.6647644043,676.7000122070,665.93,20,12.00
9.8738126755,-83.6647644043,676.7000122070,666.46,5,12.00
9.8738126755,-83.6647644043,676.7000122070,666.73,5,12.00
